id,name,isAdmin,logo,banner,description,tagLine,website,domain,followerCount,industry,companySize,headquarters,type,founded,specialties,mainCompanyID,industryCode,salesNavigatorLink,employeesOnLinkedIn,totalEmployeeCount,growth6Mth,growth1Yr,growth2Yr,averageTenure,distributionOperations,distributionOperationsPercentage,distributionEngineering,distributionEngineeringPercentage,distributionMediaAndCommunication,distributionMediaAndCommunicationPercentage,distributionSupport,distributionSupportPercentage,distributionMarketing,distributionMarketingPercentage,distributionInformationTechnology,distributionInformationTechnologyPercentage,distributionHumanResources,distributionHumanResourcesPercentage,distributionSales,distributionSalesPercentage,distributionQualityAssurance,distributionQualityAssurancePercentage,distributionBusinessDevelopment,distributionBusinessDevelopmentPercentage,distributionProductManagement,distributionProductManagementPercentage,distributionResearch,distributionResearchPercentage,distributionPurchasing,distributionPurchasingPercentage,distributionProgramAndProjectManagement,distributionProgramAndProjectManagementPercentage,distributionArtsAndDesign,distributionArtsAndDesignPercentage,distributionAccounting,distributionAccountingPercentage,savedImg,companyUrl,relatedCompanies1,relatedCompanies2,relatedCompanies3,relatedCompanies4,relatedCompanies5,relatedCompanies6,relatedCompanies7,relatedCompanies8,relatedCompanies9,relatedCompanies10,query,timestamp,phone,companyAddress,distributionAdministrative,distributionAdministrativePercentage,distributionMilitaryAndProtectiveServices,distributionMilitaryAndProtectiveServicesPercentage,distributionLegal,distributionLegalPercentage,distributionFinance,distributionFinancePercentage,distributionEducation,distributionEducationPercentage,distributionEntrepreneurship,distributionEntrepreneurshipPercentage,distributionCommunityAndSocialServices,distributionCommunityAndSocialServicesPercentage,distributionConsulting,distributionConsultingPercentage,distributionHealthcareServices,distributionHealthcareServicesPercentage,distributionRealEstate,distributionRealEstatePercentage,isClaimable,relatedCompanies11,relatedCompanies12,relatedCompanies13
97,Jean Bouteille,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQGcmPfeGgs-Vg/company-logo_400_400/0/1550008398212?e=1643241600&v=beta&t=u5H4iK9XbILl_mzu5ahsyV5-7uhf2IVj972pCdbKpII,https://media-exp1.licdn.com/dms/image/C4D1BAQHT9Jutks5YnA/company-background_10000/0/1610963771272?e=1634965200&v=beta&t=fRcKacp5K0bDqYxRvcYH1zePxDDiJgZgKkO8uP9TKfM,Jean Bouteille propose une alternative à l’emballage unique afin de réduire la quantité de déchets générée par notre mode de consommation actuel.\nL’entreprise développe des solutions zéro-déchet pour les produits liquides en épicerie et en supermarché en alliant le vrac et la consigne.,N'achetez que l'essentiel.\nSolutions zéro-déchet pour les produits liquides alliant vrac et réemploi.\n\n,http://www.jeanbouteille.fr/,jeanbouteille.fr,4544,Renewables & Environment,2-10 employees,,Privately Held,2013,"Zéro-déchet, Consigne, Vrac, Equipement, and Laveuse",12897760,144,https://www.linkedin.com/sales/company/12897760/,30,30,15% increase,25% increase,58% increase,1.7 years,4,13,1,3,1,3,,,2,7,,,1,3,5,17,2,7,3,10,1,3,,,1,3,1,3,2,7,1,3,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Jean Bouteille.jpeg,https://www.linkedin.com/company/jean-bouteille/,https://www.linkedin.com/company/reseau-vrac/,https://www.linkedin.com/company/webulk/,https://www.linkedin.com/company/bulkandco/,https://www.linkedin.com/company/uzaje/,https://www.linkedin.com/company/oeforgood/,https://www.linkedin.com/company/zero-waste-france/,https://www.linkedin.com/company/day-by-day/,https://www.linkedin.com/company/laconsignegreengo/,https://www.linkedin.com/company/vrac'n-roll/,https://www.linkedin.com/company/ulteria/,https://www.linkedin.com/company/jean-bouteille/,2021-10-22T04:23:56.813Z,,"Port fluvial de Lille, 3ème rue, bâtiment E, Lille, 59000, FR",3,10,,,,,,,,,1,3,,,,,1,3,,,,,,
98,Jean Paul GAULTIER,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQFoPgDBktp3Yw/company-logo_400_400/0/1627302365628?e=1643241600&v=beta&t=nwQUkfOeg--h3GhFAUyCxzwH2pJfmZcsDcYXoZuv1CU,https://media-exp1.licdn.com/dms/image/C4E1BAQGmZrgORKdfkA/company-background_10000/0/1618408039880?e=1634965200&v=beta&t=3uUJ7LrrZ7YW6pEdiLe4nbod7I_BBg847zq1B65Iwt8,"Surnommé « l'enfant terrible de la mode » par la presse dès ses premiers défilés dans les années 1970, Jean Paul Gaultier est l'un des créateurs les plus importants de ces dernières décennies.\n\nIl créé sa propre Maison et organise son 1er défilé en 1976 après avoir commencer sa carrière chez Pierre Cardin et Esterel Patou. Dans les années 80, il est l’un des créateurs dont on parle le plus. Il met en avant une beauté aux formes multiples, et démontre avec succès que la chose la plus banale peut devenir belle et fonctionnelle, à l’instar de la boîte de conserve métamorphosée en bracelet, puis en packaging pour son parfum aujourd’hui mondialement connu.\n\nSa première collection Homme nait en 1984. En 1997, il réalise son rêve en lançant sa collection Haute Couture «GAULTIER PARIS». De 2004 à 2011, il dessine aussi les collections de Prêt-à-Porter de la Maison Hermès.\nLe créateur a saisi très tôt les préoccupations et les enjeux d'une société multiculturelle, bousculant avec humour les codes sociologiques et esthétiques établis. Au-delà de la virtuosité technique résultant de l'exceptionnel savoir-faire des différents métiers de la Haute Couture, d'une imagination débridée et de collaborations artistiques historiques, il offre une vision ouverte de la société, un monde de folie, de sensibilité, de drôlerie et d'impertinence où chacun peut s'affirmer comme il est.\n\nAujourd’hui, les principales activités sont la Haute Couture et les parfums. Jean Paul Gaultier est une marque de Puig, une société de mode et de parfums basée à Barcelone depuis trois générations qui développe des marques uniques et des expériences olfactives destinées à faire rêver. Son ambition est de définir le futur de la parfumerie en misant sur l’innovation et en s’appropriant une part significative de croissance. Sa performance se traduit par une croissance soutenue avec un chiffre d’affaire de 1,935 milliards d’euros en 2017. Les produits de Puig sont vendus dans plus de 150 pays",,https://www.jeanpaulgaultier.com/fr-fr,https://jeanpaulgaultier.com/fr-fr,23215,Luxury Goods & Jewelry,51-200 employees,,Privately Held,,HAUTE COUTURE and PARFUM,1912727,143,https://www.linkedin.com/sales/company/1912727/,105,105,-1% decrease,13% increase,-4% decrease,3.5 years,15,17,4,4,11,12,2,2,,,,,,,6,7,,,4,4,3,3,,,,,,,25,28,2,2,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Jean Paul GAULTIER.jpeg,https://www.linkedin.com/company/jean-paul-gaultier/,https://www.linkedin.com/company/chanel/,https://www.linkedin.com/company/puig/,https://www.linkedin.com/company/christian-dior-couture/,https://www.linkedin.com/company/pacorabanne/,https://www.linkedin.com/company/hermes-group/,https://www.linkedin.com/company/nina-ricci/,https://www.linkedin.com/company/givenchy/,https://www.linkedin.com/company/louis-vuitton/,https://www.linkedin.com/company/balmain/,https://www.linkedin.com/company/pradagroup/,https://www.linkedin.com/company/jean-paul-gaultier/,2021-10-22T04:24:03.904Z,,"325 rue Saint-Martin, PARIS, FR",2,2,,,,,,,5,6,2,2,,,,,,,,,,,,
99,JIMINI'S,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQHxxNaSOVIJKA/company-logo_400_400/0/1581327201293?e=1643241600&v=beta&t=VR541DkgvpuH_72Lgzs-sBetZvQ9OnAZUc-X8l_-l7w,https://media-exp1.licdn.com/dms/image/C4D1BAQHz_KgbDWVYoA/company-background_10000/0/1581327558127?e=1634965200&v=beta&t=tUPffDR61Dz83HF40vQyQChtIM2SWUMtYTrosGuZ8c8,"JIMINI’S ce sont des produits gourmands à base d’insectes entiers ou en poudre, pour tous les moments du quotidien ! \n\nTous nos produits sont fabriqués à partir d'insectes 100% européens, cuisinés avec soin dans notre Atelier de Vaux-le-Pénil.\n\nGranolas, barres énergétiques, insectes apéritifs, pâtes... Des produits bons pour vous, bons pour la planète.\n\nDisponible en France, Allemagne, Royaume-Uni, Belgique, Pays-Bas, Espagne\n\nPour plus d'infos, rendez-vous sur www.jiminis.com !\n__________________________________________________________________________________\nJIMINI’S are gourmet products made of whole insects or powder, for every moment of the day.\n\nAll our products are made from 100% European insects, cooked with care in our production workshop in Vaux-le-Pénil.\n\nGranolas, energy bars, whole seasoned insects, pasta... Products that are good for you and good for the planet.\n\nAvailable in France, Germany, United Kingdom, Belgium, Netherlands, Spain.\n\nFor more information, go to www.jiminis.co.uk/ !",Si mini et si bon ! Les insectes comestibles dans votre assiette,https://www.jiminis.com,https://jiminis.com,2792,Food Production,11-50 employees,,Partnership,2012,"Insectes entiers déshydratés & cuisinés, Insecte entiers en poudres, and Formulation et développement de produits à base d'insectes",10173412,23,https://www.linkedin.com/sales/company/10173412/,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/JIMINI'S.jpeg,https://www.linkedin.com/company/jimini's/,https://www.linkedin.com/company/chezgraam/,https://www.linkedin.com/company/kokoji/,https://www.linkedin.com/company/la-barre-a-c%C5%93ur/,https://www.linkedin.com/company/bu-bouillons/,https://www.linkedin.com/company/il-etait-un-fruit/,https://www.linkedin.com/company/5sans/,https://www.linkedin.com/company/fruit-ride/,https://www.linkedin.com/company/onestchiche/,https://www.linkedin.com/company/good-go-t/,https://www.linkedin.com/company/greendoz/,https://www.linkedin.com/company/jimini's/,2021-10-22T04:24:10.691Z,,"61 Avenue de Saxe, Paris, 75007, FR",,,,,,,,,,,,,,,,,,,,,,,,
100,JIMMY FAIRLY,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQE8tyWC395HnA/company-logo_400_400/0/1615222027224?e=1643241600&v=beta&t=9Rq1gAx8w_lbG6-0SLqXJkw9O0b6Dg2pZPl-_JAe9j4,https://media-exp1.licdn.com/dms/image/C4E1BAQHFS_E5jQJXgA/company-background_10000/0/1632410936177?e=1634965200&v=beta&t=d7TEzQmNVmS-7X09sCVKWXnKQXbZCthH7XJ8ip2U7zs,"We're crafting the best eyewear experience in the world.\n\nWe create high fashion eyewear collections for 99€ including Rx lenses, designed in Paris and handmade in Italy.\n\nWe're committed to impulse a positive impact in everything we do.\nEvery pair of Jimmy Fairly bought, we give a pair to someone in need.","We create conscious eyewear.\nMade for you, with love. 💕",http://www.jimmyfairly.com,jimmyfairly.com,8140,Luxury Goods & Jewelry,201-500 employees,"Paris, Île-de-France",Privately Held,2010,"Eyewear, Fashion, Optique, Social business, and Mode",1602626,143,https://www.linkedin.com/sales/company/1602626/,183,183,3% increase,16% increase,14% increase,1.9 years,10,6,5,3,4,2,,,7,4,,,5,3,74,45,,,10,6,3,2,,,,,4,2,7,4,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/JIMMY FAIRLY.jpeg,https://www.linkedin.com/company/jimmyfairly-com/,https://www.linkedin.com/company/l-u.yetu/,https://www.linkedin.com/company/sezane/,https://www.linkedin.com/company/oh-my-cream-/,https://www.linkedin.com/company/bergamotte/,https://www.linkedin.com/company/my-little-paris/,https://www.linkedin.com/company/balzac-paris/,https://www.linkedin.com/company/zadigetvoltaire/,https://www.linkedin.com/company/ys%C3%A9/,https://www.linkedin.com/company/leslipfrancais/,https://www.linkedin.com/company/ba&sh/,https://www.linkedin.com/company/jimmyfairly-com/,2021-10-22T04:24:17.866Z,,"23, Rue du Mail, Paris, Île-de-France 75002, FR",,,,,,,,,,,,,,,,,21,13,,,,,,
101,Jkréa Digital,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQFPDWTVR_D9aQ/company-logo_400_400/0/1613335230463?e=1643241600&v=beta&t=LE1WY8x6Ho2n-sCDa5n-7kPN8G0NzSkAEps6cs9MQhg,https://media-exp1.licdn.com/dms/image/C4D1BAQEdrsG0sKaSWQ/company-background_10000/0/1613335108656?e=1634965200&v=beta&t=hwlI3_DpzKZ7gj-8As3BoxJbb52CFxDhtuQdsTdVgiQ,"Entreprise locale, basée au coeur des Alpes 🏔️\nOn accompagne les entreprises dans le marketing digital afin d'obtenir les résultats à la hauteur de leurs attentes 🔝\nNotre objectif : VOTRE réussite !\n⬇️ Rejoignez l'aventure ⬇️",Always Further*,http://jkrea-digital.fr/,jkrea-digital.fr,180,Marketing & Advertising,0-1 employees,"Chambéry (Chambéry, France), Savoie",Self-Employed,,,71257282,80,https://www.linkedin.com/sales/company/71257282/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Jkréa Digital.jpeg,https://www.linkedin.com/company/jkr%C3%A9a-digital/,https://www.linkedin.com/company/andr%C3%A9a-meyssirel/,https://www.linkedin.com/company/m%C3%A9dia-com-moi/,https://www.linkedin.com/company/la-bulle-workplace/,https://www.linkedin.com/company/vosgelis/,https://www.linkedin.com/company/pragma-industries/,https://www.linkedin.com/company/aktid/,https://www.linkedin.com/company/stage-ma/,https://www.linkedin.com/company/french-tech-in-the-alps-chamb%C3%A9ry/,https://www.linkedin.com/company/leica-microsystems/,https://www.linkedin.com/company/deloitte/,https://www.linkedin.com/company/jkr%C3%A9a-digital/,2021-10-22T04:24:24.892Z,626226583,"Chambéry (Chambéry, France), Savoie 73000, FR",,,,,,,,,,,,,,,,,,,,,,,,
102,Jo Malone London,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQHcfvKEV8FEqw/company-logo_400_400/0/1611752427112?e=1643241600&v=beta&t=mbJ7453TqtI5mb-Xqb8vf4_aHv7ybLspoSHRP7FKpgM,https://media-exp1.licdn.com/dms/image/C4D1BAQHcMGkpPRyiNw/company-background_10000/0/1630485937217?e=1634965200&v=beta&t=pvqqyLCFKqCzwcnXzvm16PDhtyx_eVEvXkJf-3mHfPA,"Understated style. Defined by a rather unconventional sense of sophistication. A British fragrance and lifestyle house, with a contemporary point of view. Timeless and elegant... but always infused with a charming dash of wit and whimsy. Acquired by The Estée Lauder Companies, Inc. in 1999, today the brand is available in 63 countries worldwide and continues to inspire a loyal following.","Jo Malone London, British Fragrance and Lifestyle House. Contemporary and Enchanted.",http://www.jomalone.co.uk,jomalone.co.uk,33899,Cosmetics,"10,001+ employees","London, England",Public Company,1994,"fragrance, home, and lifestyle",1308410,18,https://www.linkedin.com/sales/company/1308410/,935,935,1% increase,-2% decrease,-10% decrease,3.9 years,51,6,,,37,4,,,48,6,,,,,323,37,,,18,2,,,,,,,,,278,32,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Jo Malone London.jpeg,https://www.linkedin.com/company/jo-malone-london/,https://www.linkedin.com/company/the-estee-lauder-companies-inc/,https://www.linkedin.com/company/diptyque-paris-/,https://www.linkedin.com/company/chanel/,https://www.linkedin.com/company/lor%C3%A9al/,https://www.linkedin.com/company/charlotte-tilbury-beauty-ltd/,https://www.linkedin.com/company/aesop/,https://www.linkedin.com/company/parfums-christian-dior/,https://www.linkedin.com/company/le-labo-inc./,https://www.linkedin.com/company/byredo/,https://www.linkedin.com/company/the-white-company/,https://www.linkedin.com/company/jo-malone-london/,2021-10-22T04:24:32.148Z,,"52 Gloucester Place, London, England W1U 8HQ, GB | 13 Manchester Square, London, England W1U 3PP, GB",15,2,,,,,,,22,3,,,15,2,,,,,,,,,,
103,jobno.one,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQF7UbhX3-p8gA/company-logo_400_400/0/1626506149606?e=1643241600&v=beta&t=W-jbf7fZhdc2H8AVMhjwh0ZS5z1YCUXAGkcP1Znnhc4,https://media-exp1.licdn.com/dms/image/C4E1BAQGiM0bC6CJDPw/company-background_10000/0/1626369993596?e=1634965200&v=beta&t=feTGzyl8N24V74ING_qHWSqtLszu6_NYM0WNQ4p5z7U,"Recruitment Digital Transformation\nWe make the world of recruitment faster, easier and more enjoyable\nDevelopment and implementing Recruitment software with cutting edge technologies and Artificial intelligence\nWe change your career page to #1 candidate source\nWe grow your hiring efficiency, shorten ""time to hire"" and decrease hiring costs\nWe change your recruitment from re-active to pro-active\nWe help you to turn your ""storage of CVs database"" to active talent pool\n","Next generation of Career pages, get 3x more CVs",http://www.jobno.one,jobno.one,415,Computer Software,2-10 employees,,Privately Held,,"HR, HR Digitalization, Recruitment, HR reporting, Onboarding, AI, HRIS, Chatbot, and HR Marketing",64543400,4,https://www.linkedin.com/sales/company/64543400/,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/jobno.one.jpeg,https://www.linkedin.com/company/jobnoone/,https://www.linkedin.com/company/mblue/,https://www.linkedin.com/company/naisbitt-king-asset-management-limited/,https://www.linkedin.com/company/watiglobal/,https://www.linkedin.com/company/thisisnovel/,https://www.linkedin.com/company/agora_partners/,https://www.linkedin.com/company/sas-mommyville/,https://www.linkedin.com/company/findsolutionai/,https://www.linkedin.com/company/six-&-sept/,https://www.linkedin.com/company/openjet/,https://www.linkedin.com/company/quomi-gmbh/,https://www.linkedin.com/company/jobnoone/,2021-10-22T04:24:38.487Z,602609592,"Prague, CZ",,,,,,,,,,,,,,,,,,,,,,,,
104,JobSchool,FALSE,https://media-exp1.licdn.com/dms/image/C4D0BAQFEw-u9O6uTFg/company-logo_400_400/0/1606595399435?e=1643241600&v=beta&t=s7jiUjh6yAiD5NJ3C3imqIlOk_B0y8ifp096ctftP8U,https://media-exp1.licdn.com/dms/image/C4D1BAQGF0msmEuotkg/company-background_10000/0/1606594801612?e=1634965200&v=beta&t=TxbL8Y2fKD0ODBt3XvoG2arm4hE06FJ6GrWhNlgJRZA,"L'employabilité est un problème. \nDu côté de l'offre comme de la demande.\n\nÉtudiants, vous êtes souvent perdus sur la façon dont vous devez vous présenter.\n\nRecruteurs, vous recevez en masse des candidatures mal préparées.\n\nJ'ai crée Jobschool, la première école de l'emploi, pour donner aux étudiants les moyens et la motivation de changer leur vie.\n\nTrouver un travail est un chemin passionnant, à la découverte de soi - en premier lieu.\nIl ne faut pas le vivre différemment.\n\nAu bout de ce chemin, ne vous contentez pas de ce que vous trouverez.\n\nVisez la lune.",Première école de l'Emploi.,https://www.jobschool.fr/,https://jobschool.fr,359,Higher Education,0-1 employees,"Paris, Île-de-France",Educational Institution,2020,,69497403,68,https://www.linkedin.com/sales/company/69497403/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/JobSchool.jpeg,https://www.linkedin.com/company/jobschool-fr/,https://www.linkedin.com/company/partenariat-marketing/,https://www.linkedin.com/company/fromparistonyc/,https://www.linkedin.com/company/upply1/,https://www.linkedin.com/company/job-school/,https://www.linkedin.com/company/cremieux/,https://www.linkedin.com/company/emma-et-chloe/,https://www.linkedin.com/company/faguo-shoes/,https://www.linkedin.com/company/pop-eye/,https://www.linkedin.com/company/digitalnative-group/,https://www.linkedin.com/company/lemlist/,https://www.linkedin.com/company/jobschool-fr/,2021-10-22T04:24:45.037Z,,"22, Rue de Belleville, Paris, Île-de-France 75019, FR",,,,,,,,,,,,,,,,,,,,,,,,
105,John Lewis & Partners,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQFROmdQKRFeUQ/company-logo_400_400/0/1625479351319?e=1643241600&v=beta&t=jEaBIQw6FUqq766jpTCoZv1PTm5lRdkpcUEohXJ_9Ok,https://media-exp1.licdn.com/dms/image/C4D1BAQGdFRzDgwl9vg/company-background_10000/0/1609408424391?e=1634965200&v=beta&t=1SKdxoJqIVdrkbt8k9Tinxm3_f3fc4RK8tVge4VEmFg,"“The Partnership’s ultimate purpose is the happiness​ of all its members, through their ​worthwhile and satisfying employment​ in a ​successful​ business. Because the Partnership is owned in Trust for its members, they share the ​responsibilities​ of ownership as well as its ​rewards​ - ​profit, knowledge and power.”\n\nWe’re the John Lewis Partnership, a continuing experiment to create a better way of doing business. We’re driven by the extraordinary vision and values of our founder, John Spedan Lewis, who created our model of co-ownership almost 100 years ago. He believed businesses would be more successful if employees were at the centre of everything they did. And because of his vision, we’re more than employees. We’re owners. And that’s why we’re called Partners. \n\nThe Partnership is the UK’s largest employee-owned business and home to our two cherished retail brands - John Lewis & Partners and Waitrose & Partners. Everything we do is powered by our unique purpose, which puts the happiness of Partners at our core through worthwhile and satisfying employment. Every one of us is committed to inspiring and delighting our ​customers​ through quality products, great quality food and outstanding service because for us, it's personal. \n\nVisit www.jlpjobs.com directly to view our current opportunities.",The official LinkedIn for John Lewis & Partners. Follow us for company news and career opportunities. #WeArePartners,http://www.jlpjobs.com,jlpjobs.com,298762,Retail,"10,001+ employees","London, England",Partnership,1864,"Online, Quality, Service, Retail, Transport, Distribution, Finance, Digital, IT, Personnel, and Marketing",7404,27,https://www.linkedin.com/sales/company/7404/,11205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/John Lewis & Partners.jpeg,https://www.linkedin.com/company/johnlewisandpartners/,https://www.linkedin.com/company/waitroseandpartners/,https://www.linkedin.com/company/john-lewis-partnership/,https://www.linkedin.com/company/marks-and-spencer/,https://www.linkedin.com/company/selfridges/,https://www.linkedin.com/company/sainsburys/,https://www.linkedin.com/company/asos-com/,https://www.linkedin.com/company/lifeatnext/,https://www.linkedin.com/company/-tesco/,https://www.linkedin.com/company/harrods/,https://www.linkedin.com/company/boots/,https://www.linkedin.com/company/johnlewisandpartners/,2021-10-22T04:24:51.525Z,,"171 Victoria Street, London, England GB",,,,,,,,,,,,,,,,,,,,,,,,
106,BRANDED,FALSE,https://media-exp1.licdn.com/dms/image/C560BAQEHFBM2HfKCZw/company-logo_400_400/0/1612202218058?e=1643241600&v=beta&t=vjj947EH7dSLAVGeEoVhxAdQEgN_mA-1qWbKp6NLO88,https://media-exp1.licdn.com/dms/image/C4D1BAQFoUZrSQ3UnZg/company-background_10000/0/1617371375534?e=1634965200&v=beta&t=7LBrubQ4nbM2P7VRNc5cGTVrIB36jjN1INaSg9esWr4,"At BRANDED, we are building a global digital consumer product platform that transforms marketplace sellers into international brands loved by millions. We hire talented individuals who are enthusiastic in partnering with the most successful founders of third-party brands on Amazon and other marketplaces to help them unlock growth and achieve global scale.\n\nSince inception in late 2020, we have quickly scaled our platform to a growing portfolio of best-selling brands with more than 700,000 reviews on Amazon's marketplace, collectively generating $150m in gross revenue. Through our global presence in New York, Paris, Miami, London, Berlin and Asia, we have the ability to create a preeminent global multi-brand e-commerce platform in a growing e-commerce marketplace.\n\nBRANDED's leadership team is composed of e-commerce pioneers and senior executives from Goldman Sachs, SoftBank, Lazada, Alibaba and Amazon, and combines decades of investment, technology, operation and supply chain experience. Leading investors have joined our journey including Target Global, Declaration Partners, Tiger Global, Kreos Capital, Lurra Capital, Regah Ventures, Kima Ventures and Vine Ventures.\n\nMore information at www.joinbranded.com.",We acquire and partner with top performing Amazon sellers.,https://joinbranded.com/,https://joinbranded.com,5056,Internet,51-200 employees,,Privately Held,2020,,69583651,6,https://www.linkedin.com/sales/company/69583651/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/BRANDED.jpeg,https://www.linkedin.com/company/joinbranded/,https://www.linkedin.com/company/target-global/,https://www.linkedin.com/company/brandedgrp/,https://www.linkedin.com/company/maisonette-inc./,https://www.linkedin.com/company/brandedgroup/,https://www.linkedin.com/company/makeheroes/,https://www.linkedin.com/company/thrasio/,https://www.linkedin.com/company/lazada/,https://www.linkedin.com/company/seller-x/,https://www.linkedin.com/company/razor-brands/,https://www.linkedin.com/company/m-moustache/,https://www.linkedin.com/company/joinbranded/,2021-10-22T04:24:58.547Z,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Square,FALSE,https://media-exp1.licdn.com/dms/image/C4E0BAQHikN6EXPd23Q/company-logo_400_400/0/1595359131127?e=1643241600&v=beta&t=KveePIc1TAGM9SH9KT9Xww-uUDtvZ55xaDoVF1Pvt_A,https://media-exp1.licdn.com/dms/image/C561BAQFVZW8GY_Hl4A/company-background_10000/0/1605296061341?e=1634965200&v=beta&t=3lrp_P_jvegP2iM4zDOu0L1XEcUWzDvJqf-LlZJT_Jc,"Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.\n\nFounded in 2009 and headquartered in San Francisco, Square is currently available in the United States, Canada, Australia, UK, and Japan. Square offices are located in San Francisco, New York, Atlanta, St. Louis, Kitchener-Waterloo, Dublin, London, Toronto, Melbourne, and Tokyo.",Invent today. Shape tomorrow.,http://squareup.com,squareup.com,344963,Internet,"1,001-5,000 employees","San Francisco, CA",Public Company,2009,,675562,43,https://www.linkedin.com/sales/company/675562/,7958,7958,21% increase,45% increase,87% increase,1.8 years,810,10,2179,28,148,2,363,5,343,4,420,5,359,5,730,9,,,305,4,199,3,,,,,262,3,309,4,186,2,https://phantombuster.s3.amazonaws.com/oLJXKwNYuJk/NLuJUpTl5nFPg8JCk8FgXQ/Square.jpeg,https://www.linkedin.com/company/joinsquare/,https://www.linkedin.com/company/stripe/,https://www.linkedin.com/company/tiny-spec-inc/,https://www.linkedin.com/company/cash-app/,https://www.linkedin.com/company/shopify/,https://www.linkedin.com/company/twitter/,https://www.linkedin.com/company/coinbase/,https://www.linkedin.com/company/paypal/,https://www.linkedin.com/company/google/,https://www.linkedin.com/company/salesforce/,https://www.linkedin.com/company/facebook/,https://www.linkedin.com/company/joinsquare/,2021-10-22T04:25:06.980Z,,,,,,,179,2,350,5,,,,,,,,,,,,,,,,
